نماد,نسبت پول به قیمت,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
صبا,نسبت p/m=-27.89*** distance =-91.39,11.60,-21.35,37.00,مین حجم ماه=45.84*** مین ارزش ماه =14.06***مین حجم ماه دو=35.43,خرید=1.17*** فروش =0.94
شلعاب,نسبت p/m=-7.62*** distance =-90.59,16.08,-25.75,35.11,مین حجم ماه=24.53*** مین ارزش ماه =1.88***مین حجم ماه دو=17.43,خرید=0.70*** فروش =0.65
كلر,نسبت p/m=-1.41*** distance =-99.74,90.07,-28.17,21.40,مین حجم ماه=18.60*** مین ارزش ماه =9.75***مین حجم ماه دو=9.46,خرید=1.00*** فروش =0.73
وكغدير,نسبت p/m=-91.27*** distance =-72.43,15.73,-18.94,65.17,مین حجم ماه=57.79*** مین ارزش ماه =18.38***مین حجم ماه دو=10.50,خرید=0.96*** فروش =0.55
حسينا,نسبت p/m=186.59*** distance =-80.31,32.17,-24.23,16.14,مین حجم ماه=15.66*** مین ارزش ماه =14.04***مین حجم ماه دو=10.90,خرید=0.75*** فروش =0.97
اسياتك,نسبت p/m=-11.96*** distance =-96.29,0.06,-29.28,30.18,مین حجم ماه=23.76*** مین ارزش ماه =7.30***مین حجم ماه دو=19.35,خرید=0.78*** فروش =0.66
ركيش,نسبت p/m=-13.35*** distance =-90.88,7.56,-17.74,13.43,مین حجم ماه=9.42*** مین ارزش ماه =1.31***مین حجم ماه دو=11.21,خرید=0.66*** فروش =0.73
انرژي,نسبت p/m=-125.13*** distance =-88.77,38.44,-41.36,22.84,مین حجم ماه=20.81*** مین ارزش ماه =21.19***مین حجم ماه دو=8.30,خرید=0.90*** فروش =0.85
خكمك,نسبت p/m=10.02*** distance =-95.81,26.81,-19.23,15.67,مین حجم ماه=12.27*** مین ارزش ماه =2.82***مین حجم ماه دو=8.61,خرید=0.80*** فروش =0.82
كفرا,نسبت p/m=-23.22*** distance =-83.51,1.75,-31.26,70.52,مین حجم ماه=48.37*** مین ارزش ماه =6.21***مین حجم ماه دو=4.42,خرید=0.67*** فروش =0.67
پرديس,نسبت p/m=34.65*** distance =-78.98,3.67,-21.33,29.96,مین حجم ماه=27.37*** مین ارزش ماه =4.23***مین حجم ماه دو=21.94,خرید=0.86*** فروش =0.93
وتوكا,نسبت p/m=-18.17*** distance =-93.46,3.15,-17.12,20.53,مین حجم ماه=28.16*** مین ارزش ماه =7.35***مین حجم ماه دو=6.63,خرید=1.30*** فروش =1.37
آريان,نسبت p/m=252.35*** distance =-46.09,1.31,-26.15,50.55,مین حجم ماه=45.19*** مین ارزش ماه =19.71***مین حجم ماه دو=88.35,خرید=0.55*** فروش =1.79
وسپهر,نسبت p/m=89.67*** distance =-73.95,4.10,-15.82,24.07,مین حجم ماه=17.76*** مین ارزش ماه =5.97***مین حجم ماه دو=9.26,خرید=0.63*** فروش =0.77
دارو,نسبت p/m=69.11*** distance =-60.28,92.92,-37.77,29.79,مین حجم ماه=34.39*** مین ارزش ماه =5.38***مین حجم ماه دو=16.24,خرید=1.06*** فروش =1.48
پتاير,نسبت p/m=34.03*** distance =-80.36,22.91,-13.91,30.63,مین حجم ماه=24.36*** مین ارزش ماه =4.15***مین حجم ماه دو=22.96,خرید=0.75*** فروش =0.84
بميلا,نسبت p/m=608.55*** distance =-23.34,33.59,-4.60,13.91,مین حجم ماه=4.69*** مین ارزش ماه =3.57***مین حجم ماه دو=2.13,خرید=0.27*** فروش =0.27
